filename,V,No,Some,Many,Few,Alternate
smallworld-40-0.txt,1600,8,?,-1,0,False
smallworld-40-1.txt,1600,13,?,-1,0,True
smallworld-50-0.txt,2500,3,?,-1,0,False
smallworld-50-1.txt,2500,-1,?,-1,1,True
wall-n-1.txt,8,1,?,-1,0,False
wall-n-10.txt,80,1,?,-1,0,False
wall-n-100.txt,800,1,?,-1,0,False
wall-n-1000.txt,8000,1,?,-1,0,False
wall-n-10000.txt,80000,1,?,-1,0,False
wall-n-2.txt,16,1,?,-1,0,False
wall-n-3.txt,24,1,?,-1,0,False
wall-n-4.txt,32,1,?,-1,0,False
wall-p-1.txt,8,1,?,-1,0,False
wall-p-10.txt,62,1,?,-1,0,False
wall-p-100.txt,602,1,?,-1,0,False
wall-p-1000.txt,6002,1,?,-1,0,False
wall-p-10000.txt,60002,1,?,-1,0,False
wall-p-2.txt,14,1,?,-1,0,False
wall-p-3.txt,20,1,?,-1,0,False
wall-p-4.txt,26,1,?,-1,0,False
wall-z-1.txt,8,1,?,-1,0,False
wall-z-10.txt,71,1,?,-1,0,False
wall-z-100.txt,701,1,?,-1,0,False
wall-z-1000.txt,7001,1,?,-1,0,False
wall-z-10000.txt,70001,1,?,-1,0,False
wall-z-2.txt,15,1,?,-1,0,False
wall-z-3.txt,22,1,?,-1,0,False
wall-z-4.txt,29,1,?,-1,0,False
